class,bufferSize,P+K,idx,executions
producer3lock,100,10,4,4739804
producer3lock,100,10,5,4374840
producer3lock,100,10,6,4517867
producer3lock,100,10,7,4451402
producer3lock,100,10,8,4691585
producer3lock,100,10,9,4401616
consumer3lock,100,10,0,4156822
consumer3lock,100,10,1,5048261
consumer3lock,100,10,2,4015590
consumer3lock,100,10,3,4966067
consumer3lock,100,10,4,4106342
consumer3lock,100,10,5,5113674
consumer3lock,100,10,6,3984567
consumer3lock,100,10,7,4873788
consumer3lock,100,10,8,4086798
consumer3lock,100,10,9,5107036
producer3lock,100,10,0,3090386
producer3lock,100,10,1,5268501
producer3lock,100,10,2,3056052
producer3lock,100,10,3,3250405
producer3lock,100,10,4,3093778
producer3lock,100,10,5,5136709
producer3lock,100,10,6,3040562
producer3lock,100,10,7,3179678
producer3lock,100,10,8,2904732
producer3lock,100,10,9,5402830
consumer3lock,100,10,0,4318488
consumer3lock,100,10,1,3311460
consumer3lock,100,10,2,4621918
consumer3lock,100,10,3,2874270
consumer3lock,100,10,4,4286338
consumer3lock,100,10,5,3246000
consumer3lock,100,10,6,4575738
consumer3lock,100,10,7,2712845
consumer3lock,100,10,8,4194753
consumer3lock,100,10,9,3288117
producer3lock,100,10,0,61426
producer3lock,100,10,1,66063
producer3lock,100,10,2,63904
producer3lock,100,10,3,66399
producer3lock,100,10,4,53248
producer3lock,100,10,5,64776
producer3lock,100,10,6,64537
producer3lock,100,10,7,73723
producer3lock,100,10,8,60055
producer3lock,100,10,9,58915
consumer3lock,100,10,0,60598
consumer3lock,100,10,1,63973
consumer3lock,100,10,2,63642
consumer3lock,100,10,3,64092
consumer3lock,100,10,4,62392
consumer3lock,100,10,5,66229
consumer3lock,100,10,6,64406
consumer3lock,100,10,7,61862
consumer3lock,100,10,8,63267
consumer3lock,100,10,9,62392
producer3lock,100,10,0,18873
producer3lock,100,10,1,48388
producer3lock,100,10,2,37260
producer3lock,100,10,3,38198
producer3lock,100,10,4,15478
producer3lock,100,10,5,44282
producer3lock,100,10,6,35396
producer3lock,100,10,7,43788
producer3lock,100,10,8,16521
producer3lock,100,10,9,49274
consumer3lock,100,10,0,14001
consumer3lock,100,10,1,66351
consumer3lock,100,10,2,14122
consumer3lock,100,10,3,28521
consumer3lock,100,10,4,15475
consumer3lock,100,10,5,76852
consumer3lock,100,10,6,14970
consumer3lock,100,10,7,28382
consumer3lock,100,10,8,12875
consumer3lock,100,10,9,75507
producer3lock,100,10,0,72997
producer3lock,100,10,1,35029
producer3lock,100,10,2,39778
producer3lock,100,10,3,38018
producer3lock,100,10,4,70258
producer3lock,100,10,5,35481
producer3lock,100,10,6,43921
producer3lock,100,10,7,37882
producer3lock,100,10,8,65872
producer3lock,100,10,9,35582
consumer3lock,100,10,0,36870
consumer3lock,100,10,1,53854
consumer3lock,100,10,2,34565
consumer3lock,100,10,3,58295
consumer3lock,100,10,4,34682
consumer3lock,100,10,5,61434
consumer3lock,100,10,6,31161
consumer3lock,100,10,7,56657
consumer3lock,100,10,8,33672
consumer3lock,100,10,9,73081
producer3lock,100,10,0,45547
producer3lock,100,10,1,26765
producer3lock,100,10,2,65034
producer3lock,100,10,3,24498
producer3lock,100,10,4,44401
producer3lock,100,10,5,29031
producer3lock,100,10,6,64169
producer3lock,100,10,7,26802
producer3lock,100,10,8,47307
producer3lock,100,10,9,23519
consumer3lock,100,10,0,26187
consumer3lock,100,10,1,53425
consumer3lock,100,10,2,36535
consumer3lock,100,10,3,50795
consumer3lock,100,10,4,20581
consumer3lock,100,10,5,44697
consumer3lock,100,10,6,34266
consumer3lock,100,10,7,55818
consumer3lock,100,10,8,24771
consumer3lock,100,10,9,49352
producer3lock,100,10,0,67975
producer3lock,100,10,1,59463
producer3lock,100,10,2,62912
